Año,Población España,Total Generado España,Total Recogida Selectiva,Total Resto,RS / RE % Total,FR / RE % Total
2012,46818219,21896335,6522002,15374333,29.79,70.21
2014,46512199,20836408,6419769,14416639,30.81,69.19
2015,46449565,21157827,6343909,14813919,29.98,70.02
2016,46440099,21541841,7294915,14246925,33.86,66.14
2017,46528966,22017864,7950973,14066891,36.11,63.89
2018,46658447,22264824,7797424,14467399,35.02,64.98
2019,46937060,22261690,8451121,13810568,37.96,62.04
2020,47332614,21989316,8919822,13069494,40.56,59.44
2021,46998201,22268452,9031471,13236980,40.56,59.44
2022,47060591,22381466,9370710,13010755,41.87,58.13
2023,47122982,22494480,9709949,12784530,43.17,56.83
2024,47185372,22607494,10049188,12558305,44.45,55.55
2025,47247762,22720508,10388427,12332080,45.72,54.28
2026,47310153,22833522,10727666,12105855,46.98,53.02
2027,47372543,22946536,11066905,11879630,48.23,51.77
2028,47434933,23059550,11406144,11653405,49.46,50.54
2029,47497324,23172564,11745383,11427180,50.69,49.31
2030,47559714,23285578,12084622,11200955,51.9,48.1
2031,47622104,23398592,12423861,10974730,53.1,46.9
2032,47684495,23511606,12763100,10748505,54.28,45.72
2033,47746885,23624621,13102339,10522280,55.46,44.54
2034,47809276,23737635,13441577,10296054,56.63,43.37
2035,47871666,23850649,13780816,10069829,57.78,42.22
