Any,Població Catalunya,Total Recollida Selectiva,Total Fracció Resta,Generació Residus CAT Totals,RS / RC % Total,FR / RC % Total
2000,6090040,485070,2990154,3475225,13.96,86.04
2001,6090040,603675,2979879,3583554,16.85,83.15
2002,6343110,736790,2985052,3721843,19.8,80.2
2003,6704146,892539,3050499,3943039,22.64,77.36
2004,6813319,1050091,3080497,4130589,25.42,74.58
2005,6995206,1222170,2975745,4197916,29.11,70.89
2006,7134697,1364140,2905295,4269435,31.95,68.05
2007,7210508,1444920,2855589,4300509,33.6,66.4
2008,7364078,1471136,2804035,4275171,34.41,65.59
2009,7475420,1575716,2622877,4198594,37.53,62.47
2010,7512381,1698666,2491289,4189955,40.54,59.46
2011,7539618,1642049,2402062,4044112,40.6,59.4
2012,7570908,1460689,2275260,3735949,39.1,60.9
2013,7553650,1361815,2226821,3588637,37.95,62.05
2014,7518903,1390459,2250904,3641364,38.19,61.81
2015,7508106,1444591,2261652,3706243,38.98,61.02
2016,7522596,1440791,2291341,3732133,38.61,61.39
2017,7554982,1532952,2311344,3844296,39.88,60.12
2018,7600065,1661539,2316494,3978033,41.77,58.23
2019,7675217,1816922,2229690,4046613,44.9,55.1
2020,7780479,1824098,2149095,3973194,45.91,54.09
2021,7763362,1877615,2149412,4027027,46.63,53.37
