Any,Codi municipi,Municipi,Comarca,Població,Autocompostatge,Matèria orgànica,Poda i jardineria,Paper i cartró,Vidre,Envasos lleugers,Residus voluminosos + fusta,RAEE,Ferralla,Olis vegetals,Tèxtil,Runes,Residus en Petites Quantitats (RPQ),Piles,Medicaments,Altres recollides selectives,Total Recollida Selectiva,R.S. / R.M. % total,Kg/hab/any recollida selectiva,Resta a Dipòsit,Resta a Incineració,Resta a Tractament Mecànic Biològic,Resta (sense desglossar),Suma Fracció Resta,F.R. / R.M. %,Generació Residus Municipal Totals,Kg / hab / dia,Kg / hab / any
2000,430017,Aiguamúrcia,Alt Camp,614,,0,0,12.51,37,3.83,0,,,,,,,0,0.03,0,53.37,11.33,86.92,,,,417.61,417.61,88.67,470.98,2.1,767.07
2000,430056,Alcover,Alt Camp,3523,,0,0,79.44,81,17.27,47,,,,,,,0.17,0.17,46.76,271.81,16.86,77.15,,,,1340.52,1340.52,83.14,1612.33,1.25,457.66
2000,430108,Alió,Alt Camp,339,,0,0,4.63,7,1.38,0,,,,,,,0,0.02,0,13.03,11.32,38.42,,,,102.04,102.04,88.68,115.07,0.93,339.43
2000,430347,Bràfim,Alt Camp,569,,0,0,9.89,11,2.57,0,,,,,,,0,0.03,0,23.49,7.97,41.28,,,,271.36,271.36,92.03,294.85,1.42,518.18
2000,430363,Cabra del Camp,Alt Camp,483,,0,0,8.4,12,2.25,0,,,,,,,0,0.02,0,22.67,5.04,46.94,,,,427,427,94.96,449.67,2.55,931
2000,430593,Figuerola del Camp,Alt Camp,226,,0,0,8.01,9,2.54,0,,,,,,,0,0.01,0,19.56,16.26,86.55,,,,100.74,100.74,83.74,120.3,1.46,532.3
2000,430666,"Garidells, els",Alt Camp,162,,0,0,0,1,0,0,,,,,,,0,0.01,0,1.01,0.64,6.22,,,,155.92,155.92,99.36,156.93,2.65,968.69
2000,430803,"Masó, la",Alt Camp,258,,0,0,5.89,5,2.09,0,,,,,,,0,0.01,0,12.99,12.73,50.36,,,,89.1,89.1,87.27,102.09,1.08,395.71
2000,430831,"Milà, el",Alt Camp,156,,0,0,1.61,3,0.69,0,,,,,,,0,0.01,0,5.31,7.36,34.02,,,,66.82,66.82,92.64,72.13,1.27,462.35
2000,430897,Montferri,Alt Camp,158,,0,0,2.77,6,0.85,0,,,,,,,0,0.01,0,9.63,7.15,60.93,,,,125.04,125.04,92.85,134.67,2.34,852.33
2000,430918,Mont-ral,Alt Camp,145,,0,0,1.82,5,0.84,0,,,,,,,0,0.01,0,7.67,11.25,52.87,,,,60.46,60.46,88.75,68.13,1.29,469.84
2000,430982,Nulles,Alt Camp,341,,0,0,4.53,8,1.54,0,,,,,,,0,0.02,0,14.09,8.01,41.31,,,,161.83,161.83,91.99,175.92,1.41,515.88
2000,431080,"Pla de Santa Maria, el",Alt Camp,1627,,0,0,34.98,42,11.29,0,,,,,,,0,0.08,0,88.35,19.07,54.3,,,,375,375,80.93,463.35,0.78,284.79
2000,431135,"Pont d'Armentera, el",Alt Camp,582,,0,0,6.48,9,1.64,0,,,,,,,0,0.03,0,17.15,5.19,29.46,,,,313.06,313.06,94.81,330.21,1.55,567.37
2000,431191,Puigpelat,Alt Camp,486,,0,0,4.87,7,2.07,0,,,,,,,0,0.02,0,13.96,5.81,28.73,,,,226.36,226.36,94.19,240.32,1.35,494.49
2000,431205,Querol,Alt Camp,238,,0,0,0.48,2,0.43,0,,,,,,,0,0.01,0,2.92,1.05,12.27,,,,274.37,274.37,98.95,277.29,3.19,1165.09
2000,431248,"Riba, la",Alt Camp,820,,0,0,21.38,23,4.33,0,,,,,,,0,0.04,0,48.75,15.1,59.45,,,,274,274,84.9,322.75,1.08,393.6
2000,431325,Rodonyà,Alt Camp,384,,0,0,5.05,15,1.54,0,,,,,,,0,0.02,0,21.61,6.77,56.27,,,,297.51,297.51,93.23,319.12,2.28,831.04
2000,431346,"Rourell, el",Alt Camp,255,,0,0,2.27,4,0.45,0,,,,,,,0,0.01,0,6.73,9.15,26.4,,,,66.82,66.82,90.85,73.55,0.79,288.44
2000,431606,Vallmoll,Alt Camp,1012,,0,0,10.03,12,1.1,0,,,,,,,0,0.05,0,23.18,4.72,22.9,,,,468.33,468.33,95.28,491.51,1.33,485.68
2000,431613,Valls,Alt Camp,20206,,419,35.12,767.35,260.03,91.49,149.31,,,,,,,2.52,0.95,261.02,1986.79,19.38,98.33,,,,8263,8263,80.62,10249.79,1.39,507.26
2000,431652,Vilabella,Alt Camp,814,,0,0,9.9,20,3.17,0,,,,,,,0,0.04,0,33.11,11.17,40.67,,,,263.33,263.33,88.83,296.44,1,364.17
2000,431704,Vila-rodona,Alt Camp,1005,,0,0,18.35,24,5.66,0,,,,,,,0,0.05,0,48.06,11.58,47.82,,,,366.78,366.78,88.42,414.84,1.13,412.77
2000,170010,Agullana,Alt Empordà,619,,0,0,7.53,10.8,1.17,0,,,,,,,0,0.03,0,19.53,2.99,31.55,,,,633.47,633.47,97.01,653,2.89,1054.93
2000,170031,Albanyà,Alt Empordà,123,,0,0,2.91,4.2,0.39,0,,,,,,,0,0.01,0,7.51,8.11,61.02,,,,85.05,85.05,91.89,92.56,2.06,752.49
2000,170118,"Armentera, l'",Alt Empordà,749,,0,0,3.3,10.6,2.54,0,,,,,,,0,0.04,0,16.48,3.21,22,,,,496.69,496.69,96.79,513.17,1.88,685.13
2000,170123,Avinyonet de Puigventós,Alt Empordà,473,,0,0,11.55,11.4,2.47,0,,,,,,,0,0.02,0,25.44,8.97,53.79,,,,258.11,258.11,91.03,283.55,1.64,599.48
2000,170160,Bàscara,Alt Empordà,770,,0,0,5.15,18.3,4.06,0,,,,,,,0.15,0.04,0,27.7,6.66,35.97,,,,388.2,388.2,93.34,415.9,1.48,540.13
2000,172348,Biure,Alt Empordà,223,,0,0,3.67,5.6,0.87,0,,,,,,,0,0.01,0,10.15,11.23,45.52,,,,80.27,80.27,88.77,90.42,1.11,405.47
