id_usuario,cant_aluminio,cant_plastico,cant_cristal,kg_papel,kg_organico
1,320,342,331,368.02,371.67
2,381,366,366,386.77,414.66
3,378,382,347,430.92,409.58
4,332,340,349,389.79,344.34
5,323,319,318,397.94,376.39
6,366,382,349,403.15,422.7
7,325,343,313,371.21,377.47
8,321,314,286,343.9,359.78000000000003
9,342,350,342,420.14,429.85
10,330,348,317,393.69,411.56
11,361,352,319,398.59,348.01
12,376,336,329,343.11,383.04
13,358,351,341,402.01,374.75
14,336,320,308,380.31,369.69
15,369,385,357,405.17,408.7
16,371,356,343,409.06,424.42
17,366,369,333,400.23,404.01
18,340,317,304,381.23,375.57
19,340,348,319,402.06,414.94
20,360,384,349,437.16,426.1
21,314,341,321,434.21,400.15
22,341,335,326,417.53000000000003,402.46
23,342,325,316,371.24,379.52
24,336,332,330,383.98,422.13
25,355,371,355,383.19,408.74
26,317,336,300,375.4,354.99
27,349,347,316,431.02,403.39
28,371,397,350,385.15,426.15
29,339,339,378,368.15,366.45
30,357,329,303,375.2,368.59
31,329,339,302,371.46999999999997,375.52
32,321,302,272,366.51,355.37
33,361,360,327,386.27,398.16
34,335,312,322,345.64,376.9
35,342,336,353,369.76,408.31
36,334,390,351,391.03,440.46
37,360,373,331,363.42,386.42
38,360,371,326,381.73,404.44
39,370,352,346,369.01,402.18
40,387,372,350,419.87,412.7
41,328,348,311,392.59,378.14
42,386,386,385,416.0,450.86
43,347,356,310,402.81,358.26
44,344,333,323,373.34,383.28000000000003
45,349,398,316,386.06,406.40999999999997
46,363,377,338,400.0,427.8
47,346,337,347,378.06,404.26
48,359,345,348,433.21,401.68
49,371,355,331,406.24,400.39
50,356,332,301,375.67,410.49
51,333,318,312,376.19,343.92
52,359,364,335,397.83,419.63
53,343,342,313,365.84,372.58
54,336,387,332,411.05,394.45
55,321,307,313,352.21999999999997,403.32
56,357,345,305,393.27,373.71
57,362,360,338,388.14,416.49
58,337,328,312,381.31,389.58
59,330,341,299,341.0,325.24
60,360,400,324,466.26,395.56
61,338,364,317,397.17,375.06
62,332,334,329,388.35,417.67
63,317,346,290,386.45,406.93
64,344,333,319,383.31,412.8
65,344,352,281,366.65,390.51
66,326,363,323,367.01,425.91
67,380,340,312,387.09000000000003,408.18
68,333,294,324,376.75,359.76
69,333,335,352,370.41,380.01
70,337,343,313,378.59,362.9
71,341,372,338,405.02,402.08
72,358,361,361,389.06,396.96
73,360,359,326,370.48,380.44
74,352,355,349,395.19,396.73
75,347,344,318,374.29,412.48
76,390,351,290,397.53000000000003,391.43
77,332,351,337,419.49,381.58
78,354,332,356,359.26,368.86
79,322,335,276,350.25,360.78
80,346,378,328,367.93,399.54
81,340,341,320,419.21,407.81
82,379,362,330,412.73,426.08
83,355,344,357,429.44,411.92
84,377,371,332,400.86,375.12
85,338,328,321,331.71,358.69
86,357,341,320,413.82,402.89
87,364,330,338,371.96,373.24
88,324,327,321,348.55,359.17
89,376,370,347,352.35,360.53
90,329,336,346,341.36,367.14
91,376,360,339,406.93,377.64
92,370,343,321,363.54,359.55
93,335,342,330,398.79,391.54
94,317,321,328,376.7,410.9
95,362,347,355,384.31,393.48
96,358,348,337,408.18,405.12
97,314,357,291,339.7,392.18
98,343,391,355,389.8,432.04
99,335,342,283,385.98,366.82
100,340,321,363,347.23,375.21
101,354,378,342,381.75,395.18
102,388,383,330,441.3,430.24
103,386,390,386,436.36,392.5
104,332,337,355,405.17,384.61
105,346,365,328,375.8,397.73
106,376,356,358,404.91,425.57
107,322,349,348,406.6,354.64
108,370,352,332,413.89,441.81
109,364,345,317,396.64,377.45
110,388,372,300,371.08,355.72
111,340,362,296,395.93,379.54
112,344,353,336,399.51,366.96
113,379,388,356,461.78,378.79
114,331,348,307,371.53,373.47
115,351,340,341,383.46,362.54
116,332,346,342,393.42,391.17
117,345,324,321,386.71,410.47
118,406,363,299,415.77,403.11
119,380,349,342,425.8,354.4
120,346,342,320,369.2,394.45
121,374,367,342,385.37,391.72
122,319,333,311,396.98,358.17
123,390,367,347,419.24,415.46
124,367,363,341,415.48,391.77
125,341,337,337,348.03000000000003,352.41
126,339,368,337,419.07,364.45
127,322,348,326,384.98,383.86
128,353,329,308,384.4,337.86
129,312,362,379,392.1,411.53
130,338,342,307,390.47,379.2
131,344,358,316,395.23,382.43
132,380,355,317,369.9,400.44
133,383,398,365,406.14,439.31
134,332,353,325,375.44,387.85
135,376,357,332,398.6,391.69
136,341,342,328,359.64,338.88
137,345,332,320,413.86,439.77
138,329,367,316,404.54,415.91
139,355,344,303,408.75,437.13
140,359,325,319,405.05,436.07
141,337,368,328,389.13,399.52
142,368,331,314,388.01,388.34
143,356,344,274,394.14,380.69
144,350,342,355,402.47,417.73
145,359,358,351,391.08,411.6
146,363,358,302,381.95,391.17
147,339,336,328,399.81,366.77
148,358,348,347,391.08,377.79
149,325,362,314,378.1,359.74
150,352,368,359,428.67,398.85
151,323,335,290,372.79,347.54
152,355,371,349,397.42,413.85
153,346,345,323,383.29,395.6
154,353,336,343,381.71,374.16
155,336,370,303,418.04,435.89
156,347,329,320,376.27,384.92
157,349,369,315,363.04,390.44
158,366,364,350,408.42,421.13
159,316,317,295,378.21,348.78
160,357,347,344,420.2,389.85
161,371,331,308,417.53,396.99
162,326,353,292,395.13,410.38
163,345,343,309,373.5,362.53
164,362,358,338,412.81,378.09
165,373,364,344,375.44,357.64
166,368,358,295,408.74,436.68
167,343,342,296,383.02,360.75
168,339,350,380,360.92,412.85
169,343,351,321,389.88,386.72
170,368,357,360,386.43,376.2
171,319,332,276,346.8,386.73
172,335,331,338,384.58,391.07
173,329,352,302,363.9,380.56
174,358,351,319,396.12,406.37
175,355,355,311,413.02,385.16
176,377,354,376,430.98,413.13
177,327,355,283,397.42,390.7
178,326,349,344,383.92,361.62
179,358,359,347,380.92,367.18
180,343,374,321,397.09,399.85
181,357,344,300,365.15,379.73
182,356,320,338,402.8,402.32
183,347,338,286,360.92,359.55
184,322,330,276,355.86,351.36
185,366,401,354,420.81,368.66
186,353,339,343,377.15,361.07
187,344,339,341,368.11,388.45
188,349,347,328,371.42,398.76
189,329,321,328,377.12,381.96
190,351,370,331,393.56,400.95
191,340,324,315,376.99,388.88
192,367,379,335,420.42,390.36
193,332,308,299,343.48,343.08
