id_usuario,ubicacion,basura_papel,basura_plastico,basura_resto,basura_organico,basura_cristal,no_recicla,edad,genero,estado_civil,hijos,tipo_vivienda,nivel_estudios,profesion
1,0,1,0,0,1,0,0,38,0,2,0,0,3,13
2,0,1,1,0,0,1,0,25,0,0,0,0,3,1
3,0,1,0,0,0,0,0,24,0,0,0,0,7,8
4,0,1,1,0,0,1,0,19,0,0,0,3,5,8
5,0,1,1,0,1,0,0,41,0,0,0,0,4,17
6,0,1,1,0,1,1,0,55,1,2,0,0,6,18
7,0,1,1,0,0,1,0,24,1,0,0,2,4,4
8,0,1,1,0,0,1,0,38,0,2,1,0,4,5
9,0,1,0,1,1,1,0,26,1,0,0,0,0,5
10,0,0,1,0,1,1,0,33,0,2,0,0,5,12
11,0,1,0,1,1,1,0,25,0,0,0,1,6,7
12,0,0,1,0,0,1,0,32,1,2,0,2,5,18
13,0,1,1,1,0,0,0,24,0,0,0,0,4,15
14,0,0,1,1,1,0,0,19,0,0,0,0,3,1
15,0,1,1,0,1,0,0,27,1,0,0,1,1,17
16,0,0,1,0,0,1,0,31,0,2,0,0,3,10
17,0,0,1,1,1,1,0,60,0,3,3,0,5,6
18,0,0,1,1,0,1,0,40,1,0,0,0,7,14
19,0,1,0,0,1,0,0,22,0,0,0,0,1,4
20,0,1,1,0,0,0,0,35,1,2,0,0,3,5
21,0,1,1,1,0,0,0,29,0,0,0,0,4,1
22,0,1,1,1,1,0,0,33,0,2,2,0,5,4
23,0,1,0,0,0,0,0,39,1,2,1,2,5,7
24,0,1,0,0,1,0,0,22,1,0,0,0,2,23
25,0,0,1,0,0,0,0,27,0,0,0,0,3,0
26,0,1,1,0,1,0,0,63,0,3,0,0,6,9
27,0,1,1,1,1,0,0,23,1,0,0,0,5,3
28,0,1,1,0,1,0,0,27,1,0,0,2,2,5
29,0,0,1,1,0,0,0,78,0,3,4,0,0,10
30,0,1,1,1,1,1,0,27,0,0,0,0,5,8
31,0,1,1,0,0,0,0,28,1,0,0,0,3,14
32,0,1,1,1,0,0,0,29,0,0,0,1,7,23
33,0,1,1,0,1,0,0,24,1,0,0,1,2,13
34,0,1,1,1,0,0,0,43,1,2,1,0,5,5
35,0,1,1,0,0,0,0,70,0,3,1,1,5,13
36,0,1,1,1,0,0,0,58,1,0,0,0,5,16
37,0,1,1,0,1,0,0,24,1,0,0,1,1,1
38,0,1,1,0,0,0,0,28,0,0,0,0,5,18
