Any,Població Catalunya,Generació Residus CAT Totals,Total Recollida Selectiva,Total Fracció Resta,RS / RC % Total,FR / RC % Total
2000,6090040,3475225,485070,2990154,13.96,86.04
2001,6090040,3583554,603675,2979879,16.85,83.15
2002,6343110,3721843,736790,2985052,19.8,80.2
2003,6704146,3943039,892539,3050499,22.64,77.36
2004,6813319,4130589,1050091,3080497,25.42,74.58
2005,6995206,4197916,1222170,2975745,29.11,70.89
2006,7134697,4269435,1364140,2905295,31.95,68.05
2007,7210508,4300509,1444920,2855589,33.6,66.4
2008,7364078,4275171,1471136,2804035,34.41,65.59
2009,7475420,4198594,1575716,2622877,37.53,62.47
2010,7512381,4189955,1698666,2491289,40.54,59.46
2011,7539618,4044112,1642049,2402062,40.6,59.4
2012,7570908,3735949,1460689,2275260,39.1,60.9
2013,7553650,3588637,1361815,2226821,37.95,62.05
2014,7518903,3641364,1390459,2250904,38.19,61.81
2015,7508106,3706243,1444591,2261652,38.98,61.02
2016,7522596,3732133,1440791,2291341,38.61,61.39
2017,7554982,3844296,1532952,2311344,39.88,60.12
2018,7600065,3978033,1661539,2316494,41.77,58.23
2019,7675217,4046613,1816922,2229690,44.9,55.1
2020,7780479,3973194,1824098,2149095,45.91,54.09
2021,7763362,4027027,1877615,2149412,46.63,53.37
2022,8057223,3946535,1950612,1995922,49.43,50.57
2023,8128125,3947406,2001659,1945745,50.71,49.29
2024,8199026,3948276,2052707,1895568,51.99,48.01
2025,8269928,3949147,2103755,1845392,53.27,46.73
2026,8340829,3950018,2154802,1795215,54.55,45.45
2027,8411731,3950889,2205850,1745038,55.83,44.17
2028,8482632,3951760,2256897,1694862,57.11,42.89
2029,8553534,3952631,2307945,1644685,58.39,41.61
2030,8624435,3953502,2358993,1594508,59.67,40.33
2031,8695337,3954373,2410040,1544332,60.95,39.05
2032,8766239,3955244,2461088,1494155,62.22,37.78
2033,8837140,3956115,2512135,1443978,63.5,36.5
2034,8908042,3956986,2563183,1393802,64.78,35.22
2035,8978943,3957856,2614231,1343625,66.05,33.95
