basura_papel,basura_plastico,basura_resto,basura_organico,basura_cristal,edad,genero,estado_civil,hijos,tipo_vivienda,nivel_estudios,profesion,cant_aluminio,cant_plastico,cant_cristal,kg_papel,kg_organico
1,0,0,1,0,38,0,2,0,0,3,13,320,342,331,368.02,371.67
1,1,0,0,1,25,0,0,0,0,3,1,381,366,366,386.77,414.66
1,0,0,0,0,24,0,0,0,0,7,8,378,382,347,430.92,409.58
1,1,0,0,1,19,0,0,0,3,5,8,332,340,349,389.79,344.34
1,1,0,1,0,41,0,0,0,0,4,17,323,319,318,397.94,376.39
1,1,0,1,1,55,1,2,0,0,6,18,366,382,349,403.15,422.7
1,1,0,0,1,24,1,0,0,2,4,4,325,343,313,371.21,377.47
1,1,0,0,1,38,0,2,1,0,4,5,321,314,286,343.9,359.78000000000003
1,0,1,1,1,26,1,0,0,0,0,5,342,350,342,420.14,429.85
0,1,0,1,1,33,0,2,0,0,5,12,330,348,317,393.69,411.56
1,0,1,1,1,25,0,0,0,1,6,7,361,352,319,398.59,348.01
0,1,0,0,1,32,1,2,0,2,5,18,376,336,329,343.11,383.04
1,1,1,0,0,24,0,0,0,0,4,15,358,351,341,402.01,374.75
0,1,1,1,0,19,0,0,0,0,3,1,336,320,308,380.31,369.69
1,1,0,1,0,27,1,0,0,1,1,17,369,385,357,405.17,408.7
0,1,0,0,1,31,0,2,0,0,3,10,371,356,343,409.06,424.42
0,1,1,1,1,60,0,3,3,0,5,6,366,369,333,400.23,404.01
0,1,1,0,1,40,1,0,0,0,7,14,340,317,304,381.23,375.57
1,0,0,1,0,22,0,0,0,0,1,4,340,348,319,402.06,414.94
1,1,0,0,0,35,1,2,0,0,3,5,360,384,349,437.16,426.1
1,1,1,0,0,29,0,0,0,0,4,1,314,341,321,434.21,400.15
1,1,1,1,0,33,0,2,2,0,5,4,341,335,326,417.53,402.46
1,0,0,0,0,39,1,2,1,2,5,7,342,325,316,371.24,379.52
1,0,0,1,0,22,1,0,0,0,2,23,336,332,330,383.98,422.13
0,1,0,0,0,27,0,0,0,0,3,0,355,371,355,383.19,408.74
1,1,0,1,0,63,0,3,0,0,6,9,317,336,300,375.4,354.99
1,1,1,1,0,23,1,0,0,0,5,3,349,347,316,431.02,403.39
1,1,0,1,0,27,1,0,0,2,2,5,371,397,350,385.15,426.15
0,1,1,0,0,78,0,3,4,0,0,10,339,339,378,368.15,366.45
1,1,1,1,1,27,0,0,0,0,5,8,357,329,303,375.2,368.59
1,1,0,0,0,28,1,0,0,0,3,14,329,339,302,371.47,375.52
1,1,1,0,0,29,0,0,0,1,7,23,321,302,272,366.51,355.37
1,1,0,1,0,24,1,0,0,1,2,13,361,360,327,386.27,398.16
1,1,1,0,0,43,1,2,1,0,5,5,335,312,322,345.64,376.9
1,1,0,0,0,70,0,3,1,1,5,13,342,336,353,369.76,408.31
1,1,1,0,0,58,1,0,0,0,5,16,334,390,351,391.03,440.46
1,1,0,1,0,24,1,0,0,1,1,1,360,373,331,363.42,386.42
1,1,0,0,0,28,0,0,0,0,5,18,360,371,326,381.73,404.44
1,0,1,1,0,74,1,1,4,1,5,11,370,352,346,369.01,402.18
1,0,1,0,0,22,1,0,0,3,4,9,387,372,350,419.87,412.7
1,0,1,0,0,24,1,0,0,0,3,9,328,348,311,392.59,378.14
1,1,0,1,1,19,1,0,0,0,5,16,386,386,385,416.0,450.86
1,0,0,0,0,37,0,2,2,0,4,16,347,356,310,402.81,358.26
1,1,0,0,0,71,1,3,1,0,5,16,344,333,323,373.34,383.28
1,1,1,1,0,32,0,2,2,0,4,13,349,398,316,386.06,406.41
0,1,0,0,0,66,1,1,1,0,5,16,363,377,338,400.0,427.8
1,1,0,1,0,24,0,0,0,0,4,11,346,337,347,378.06,404.26
1,1,0,0,0,24,1,0,0,0,4,3,359,345,348,433.21,401.68
1,1,1,1,1,30,0,0,0,0,5,5,371,355,331,406.24,400.39
1,1,1,0,0,27,1,0,0,0,3,3,356,332,301,375.67,410.49
1,1,0,1,0,25,1,0,0,1,3,8,333,318,312,376.19,343.92
0,1,1,0,0,40,0,2,0,1,4,12,359,364,335,397.83,419.63
1,1,1,0,0,19,1,0,0,0,5,0,343,342,313,365.84,372.58
1,0,0,0,0,33,0,2,1,2,3,15,336,387,332,411.05,394.45
1,0,0,1,1,34,1,0,0,0,4,2,321,307,313,352.22,403.32
1,1,0,1,0,41,1,0,0,2,5,16,357,345,305,393.27,373.71
1,1,1,1,0,19,0,0,0,0,5,5,362,360,338,388.14,416.49
1,1,0,0,0,29,0,0,0,0,4,19,337,328,312,381.31,389.58
1,1,1,1,0,37,1,0,0,0,5,4,330,341,299,341.0,325.24
1,1,0,0,0,37,0,2,1,0,3,9,360,400,324,466.26,395.56
1,1,1,0,0,31,0,2,1,0,4,16,338,364,317,397.17,375.06
1,0,0,0,0,65,1,2,0,3,4,4,332,334,329,388.35,417.67
1,0,0,1,0,20,0,0,0,0,5,12,317,346,290,386.45,406.93
1,1,0,0,0,22,0,0,0,0,5,9,344,333,319,383.31,412.8
1,0,1,0,1,35,0,2,2,0,3,14,344,352,281,366.65,390.51
1,1,0,0,1,61,1,2,1,1,5,8,326,363,323,367.01,425.91
1,1,0,0,0,63,1,2,2,2,0,1,380,340,312,387.09,408.18
0,1,1,0,0,20,1,0,0,3,4,12,333,294,324,376.75,359.76
1,1,0,0,0,20,0,0,0,0,5,5,333,335,352,370.41,380.01
1,1,0,0,0,32,0,0,0,0,5,15,337,343,313,378.59,362.9
1,1,1,0,0,36,1,2,2,0,1,8,341,372,338,405.02,402.08
1,1,1,0,0,28,1,0,0,0,4,15,358,361,361,389.06,396.96
